objectid,equipamien,x,y,identifica,idclase,usuario,estado,codvia,numportal,idsubclase,telefono,globalid,created_user,created_date,last_edited_user,last_edited_date
24145,ASOCIACIÓN SOCIO-CULTURAL DE INTEGRACIÓN E INSERCIÓN DE LOS NEGROS AFRICANOS EN VALENCIA - ASIINAV,,,001421,3,Test Admin,3,58140,17,,963922662,{45749E64-B27E-48FB-8E41-239E6C5CE306},appinfociudad,20220920122217,ADM_GIS,20230108095318
24146,ASOCIACIÓN DE INMIGRANTES SENEGALESES-AIS,725682.363,4371668.901,001423,3,Test Admin,3,70800,3,No tiene,619315202,{64D4AF2D-3D51-43BC-A51C-615AD37EBB4F},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24147,ASOCIACIÓN VALENCIANA DE AYUDA AL REFUGIADO - AVAR,723369.48381519,4372933.03843869,001428,3,Test Admin,3,81652,7,No tiene,962059388,{26251861-1AB3-4216-B48B-423633C9629A},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24148,VENENVAL SOLIDARIA. VENEZOLANOS EN VALENCIA,725260.17,4372605.808,009684,3,Test Admin,3,58140,17,No tiene,641475489,{C7875A20-F996-4CCD-80AD-FCEE9345EE95},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24149,ASOCIACIÓN ENTREIGUALES VALENCIA,725336.929,4372419.719,009736,3,Test Admin,3,65220,8,No tiene,692221879,{AA40C718-9CFA-4EB7-8BF0-BC85F59AE559},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24150,AGAV. ASOCIACIÓN GUINEANA Y AMIGOS DE VALENCIA,722880.847,4371482.31,009705,3,Test Admin,3,19380,13,No tiene,632462071,{11A52A17-85B5-414F-8B3F-18A022C4B6A0},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24151,CLÍNICA UNIVERSITARIA SÍNDROME,,,009371,3,Test Admin,3,60420,41,,644300286,{DE061F67-26B1-4255-B086-C6FA90FAA963},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24152,ASOCIACIÓN DE MUJERES VECINALES ORRIOLS-RASCANYA,,,001462,3,Test Admin,3,69360,12,,655563218,{CBA657C1-21D8-4BBF-AC5B-5ED73947C149},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24153,FEDERACIÓN DE MUJERES Y FAMILIARES DEL  ÁMBITO RURAL DE LA COMUNIDAD VALENCIANA - AMFAR,725013.463,4372414.594,001446,3,Test Admin,3,35100,79,No tiene,963804606,{EAA257E4-3E28-4BD3-A6A5-A7CDD9626652},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24154,XARXA. ASOCIACIÓN DE MUJERES CON DISCAPACIDAD,724257.559,4371309.241,009509,3,Test Admin,3,46110,17,No tiene,963577092,{677FACDF-8EF1-4EFA-960E-8A688C4ADAC5},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24155,CASA DE LA DONA,725718.751,4371294.352,001480,3,Test Admin,3,12390,13,,962066618,{4B8E1AD0-5487-4963-B0F6-8C2B9B5CE2B6},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24156,CASA CUNA SANTA ISABEL,722772.212,4371907.598,001478,3,Test Admin,3,16230,8,No tiene,963790133,{3F860F1C-F497-4679-B75C-C323ED9DC9C1},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24157,CENTRO DE ACOGIDA VILLA TERESITA,,,003478,3,Test Admin,3,8340,14ac,No tiene,963920853,{1094435B-E827-46DB-9F8D-C19810AF12A5},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24158,TELÉFONO DE LA ESPERANZA,724925.719,4372427.041,006459,3,Test Admin,3,28800,9,No tiene,914590055,{A6102CDC-8C0B-4FB3-BCE6-EF17B20E4079},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24159,PISO MARTES-REINSERCIÓN,725657.744,4374640.486,005363,3,Test Admin,3,0,S/N,No Tiene,963667537,{BCA6E757-9CB3-4A73-AF8D-CD4885ED0214},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24160,IVANN.INSTITUTO VALENCIANO NEUROCIENCIAS,726706.194,4373452.449,009648,3,Test Admin,3,67620,4,No Tiene,644621023,{554B42A1-EFB9-42A4-8E16-FB28B31F4146},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24161,"TARPURISUN - SEMBREMOS, AMIGOS DE AREQUIPA. PERÚ",724784.7,4373402.931,006621,3,ssociales,3,47760,11,No Tiene,646114059,{B7A905EB-0C72-46BF-8302-B12BC7E7D701},ADM_GIS,20220908104230,ADM_GIS,20230108095318
